New Strategy
100 Voters 20 Alternatives 
150 Questions for 5 runs 
Mean of Regret reduced by half in -1 questions 
Mean of Regret reduced by four in -1 questions 
Mean of Regret reduced by eight in -1 questions 
Mean of Average Loss reduced by half in -1 questions 
Mean of Average Loss reduced by four in -1 questions 
Mean of Average Loss reduced by eight in -1 questions 
k 	 Mean of Regrets 
0 	100.0
150	99.30711981307189
k 	 Mean of Average Losses 
0 	1.0
150	3.8642153769494483
k 	 Standard Deviations of Regrets 
150	0.25519470219329865
k 	 Standard Deviations of Average Losses 
150	0.25519470219329865
k 	 Percentage of Questions to the Voters 
150	100.0%
