New Strategy
15 Voters 15 Alternatives 
60 Questions for 2 runs 
Mean of Regret reduced by half in -1 questions 
Mean of Regret reduced by four in -1 questions 
Mean of Regret reduced by eight in -1 questions 
Mean of Average Loss reduced by half in -1 questions 
Mean of Average Loss reduced by four in -1 questions 
Mean of Average Loss reduced by eight in -1 questions 
k 	 Mean of Regrets 
0 	15.0
60	14.840346116091608
k 	 Mean of Average Losses 
0 	1.0
60	1.275168162448189
k 	 Standard Deviations of Regrets 
60	0.04935388340004998
k 	 Standard Deviations of Average Losses 
60	0.04935388340004998
k 	 Percentage of Questions to the Voters 
60	66.7%
